longitude,latitude,YR,MO,X,Y,TOT,CR
-73.95483054,40.82043229,2014,2,996752,238186,1,FELONY ASSAULT
-73.91098516,40.86234046,2014,1,1008872,253464,1,ROBBERY
-73.99121067,40.75783074,2014,2,986685,215375,2,ROBBERY
-73.9364238,40.83031832,2014,2,1001844,241791,1,ROBBERY
-73.99440894,40.71266602,2014,2,985800,198920,1,FELONY ASSAULT
-74.00405806,40.71313544,2014,1,983125,199091,1,FELONY ASSAULT
-73.96307629,40.64943988,2014,1,994496,175887,1,FELONY ASSAULT
-73.86209374,40.7588327,2014,2,1022455,215770,1,FELONY ASSAULT
-73.76250846,40.59953892,2014,2,1050201,157794,1,RAPE
-73.85803095,40.879988,2014,2,1023509,259913,1,RAPE
-73.86378787,40.88180369,2014,2,1021916,260572,1,RAPE
-73.84933522,40.81559159,2014,2,1025954,236455,1,FELONY ASSAULT
-73.89347165,40.85858184,2014,2,1013718,252100,1,ROBBERY
-73.91861545,40.8163173,2014,2,1006777,236694,1,ROBBERY
-73.83790847,40.88370251,2014,2,1029071,261276,1,FELONY ASSAULT
-73.93643088,40.61488232,2014,2,1001899,163301,1,FELONY ASSAULT
-73.91288439,40.6571778,2014,2,1008421,178716,1,FELONY ASSAULT
-73.90319263,40.65733749,2014,2,1011110,178777,1,ROBBERY
-73.88892276,40.84628127,2014,1,1014982,247620,1,ROBBERY
-73.95310909,40.70999144,2014,2,997250,197949,1,FELONY ASSAULT
-74.00675345,40.65024159,2014,2,982376,176177,1,FELONY ASSAULT
-73.97094661,40.61680935,2014,2,992316,163998,1,FELONY ASSAULT
-73.9231212,40.69378669,2014,2,1005569,192051,1,FELONY ASSAULT
-73.82337681,40.87994841,2014,1,1033092,259916,1,ROBBERY
-73.92835156,40.70583136,2014,2,1004115,196438,1,FELONY ASSAULT
-73.99747628,40.67909213,2014,2,984950,186688,1,ROBBERY
-73.93223426,40.65081745,2014,2,1003054,176394,1,FELONY ASSAULT
-73.96277437,40.63510102,2014,2,994582,170663,1,ROBBERY
-73.98127463,40.68955645,2014,2,989443,190501,2,FELONY ASSAULT
-73.8262398,40.84299257,2014,1,1032327,246450,1,ROBBERY
-73.93748383,40.83666193,2014,2,1001549,244102,1,FELONY ASSAULT
-73.92629588,40.8622497,2014,2,1004637,253427,1,ROBBERY
-73.94508254,40.8337811,2014,2,999447,243051,1,ROBBERY
-73.94791149,40.82990963,2014,2,998665,241640,1,ROBBERY
-73.93150365,40.79731297,2014,2,1003215,229767,1,ROBBERY
-73.97911142,40.73457566,2014,2,990039,206903,1,FELONY ASSAULT
-73.86377183,40.75196734,2014,2,1021994,213268,1,FELONY ASSAULT
-73.92855384,40.75602483,2014,2,1004044,214725,1,ROBBERY
-73.8382742,40.58171675,2014,2,1029173,151253,1,ROBBERY
-73.93439205,40.8056394,2014,6,1002413,232800,1,ROBBERY
-73.88045834,40.88222015,2014,1,1017306,260717,1,FELONY ASSAULT
-73.88504708,40.74859253,2014,2,1016101,212030,1,ROBBERY
-73.80018688,40.7605233,2014,2,1039604,216419,1,ROBBERY
-73.7846757,40.59642332,2014,2,1044048,156643,1,FELONY ASSAULT
-73.93936123,40.74744546,2014,2,1001052,211597,1,FELONY ASSAULT
-74.06773456,40.59170837,2014,2,965438,154859,1,FELONY ASSAULT
-73.91044148,40.8150569,2014,2,1009040,236237,1,ROBBERY
-73.89924927,40.84614529,2014,2,1012125,247567,1,FELONY ASSAULT
-73.90424235,40.83246167,2014,2,1010749,242580,1,ROBBERY
-73.90906511,40.82558182,2014,2,1009417,240072,2,FELONY ASSAULT
-73.94401052,40.66052384,2014,2,999784,179928,1,FELONY ASSAULT
-73.99381154,40.69767683,2014,2,985966,193459,1,RAPE
-74.01286825,40.64618977,2014,2,980679,174701,1,ROBBERY
-73.9715823,40.60425756,2014,2,992141,159425,1,ROBBERY
-74.01635926,40.64282697,2014,2,979710,173476,1,ROBBERY
-73.96494924,40.65131515,2014,2,993976,176570,1,ROBBERY
-73.97502272,40.59141545,2014,2,991187,154746,1,ROBBERY
-73.92100034,40.63331227,2014,2,1006177,170019,1,RAPE
-73.97647552,40.73971608,2014,2,990769,208776,1,FELONY ASSAULT
-73.97652529,40.76234653,2014,2,990753,217021,1,FELONY ASSAULT
-73.95246178,40.79830064,2014,2,997412,230123,1,FELONY ASSAULT
-73.95242506,40.78903442,2014,2,997424,226747,1,ROBBERY
-73.91133644,40.67207529,2014,1,1008845,184144,1,ROBBERY
-73.90612646,40.71364344,2014,2,1010274,199290,1,RAPE
-73.85960243,40.8858718,2014,2,1023071,262056,1,ROBBERY
-73.86658032,40.87427003,2014,2,1021148,257826,1,FELONY ASSAULT
-73.85810551,40.82132821,2014,2,1023523,238541,1,ROBBERY
-73.90732328,40.81537283,2014,2,1009903,236353,1,FELONY ASSAULT
-73.86537478,40.8749795,2014,2,1021481,258085,1,ROBBERY
-73.86944952,40.86967594,2014,2,1020357,256151,1,FELONY ASSAULT
-73.92714502,40.58874359,2014,2,1004485,153780,1,FELONY ASSAULT
-73.88964819,40.8251367,2014,1,1014791,239916,1,ROBBERY
-73.91905018,40.65197271,2014,2,1006712,176818,1,FELONY ASSAULT
-73.88465902,40.662132,2014,2,1016250,180530,1,ROBBERY
-73.85590113,40.6646879,2014,2,1024227,181473,1,FELONY ASSAULT
-73.89503898,40.65114359,2014,2,1013375,176523,1,FELONY ASSAULT
-74.00219187,40.67403901,2014,2,983642,184847,1,ROBBERY
-73.9521236,40.78138746,2014,6,997509,223961,1,ROBBERY
-73.76409968,40.70056703,2014,1,1049660,194600,1,ROBBERY
-73.95384553,40.82371459,2014,2,997024,239382,1,FELONY ASSAULT
-73.94372482,40.83683806,2014,2,999822,244165,1,ROBBERY
-73.95281853,40.82493283,2014,2,997308,239826,1,FELONY ASSAULT
-73.97061299,40.79371476,2014,2,992387,228450,1,FELONY ASSAULT
-73.76160995,40.67973726,2014,1,1050371,187013,1,FELONY ASSAULT
-73.98283669,40.77085359,2014,2,989004,220120,1,FELONY ASSAULT
-73.95078067,40.80051767,2014,2,997877,230931,1,FELONY ASSAULT
-73.98954308,40.75756985,2014,2,987147,215280,1,ROBBERY
-73.92978416,40.85581555,2014,2,1003674,251082,1,FELONY ASSAULT
-73.98092865,40.68890314,2014,1,989539,190263,1,ROBBERY
-73.90549266,40.72307393,2014,2,1010446,202726,1,FELONY ASSAULT
-73.89500628,40.73833392,2014,2,1013346,208289,1,ROBBERY
-73.8912703,40.69923682,2014,2,1014399,194046,1,ROBBERY
-73.9059739,40.64023704,2014,1,1010345,172546,1,ROBBERY
-74.11439456,40.62519634,2014,2,952495,167073,1,ROBBERY
